population,respawn_time,mode,seed,run_tag,oscillation_backstop_trips
16,10.0,dynamic,1,pop16_respawn10_dynamic_seed1,0
16,10.0,dynamic,2,pop16_respawn10_dynamic_seed2,0
16,10.0,dynamic,3,pop16_respawn10_dynamic_seed3,0
16,10.0,dynamic,4,pop16_respawn10_dynamic_seed4,0
16,10.0,dynamic,5,pop16_respawn10_dynamic_seed5,0
16,10.0,static,1,pop16_respawn10_static_seed1,0
16,10.0,static,2,pop16_respawn10_static_seed2,0
16,10.0,static,3,pop16_respawn10_static_seed3,0
16,10.0,static,4,pop16_respawn10_static_seed4,0
16,10.0,static,5,pop16_respawn10_static_seed5,0
16,30.0,dynamic,1,pop16_respawn30_dynamic_seed1,0
16,30.0,dynamic,2,pop16_respawn30_dynamic_seed2,0
16,30.0,dynamic,3,pop16_respawn30_dynamic_seed3,0
16,30.0,dynamic,4,pop16_respawn30_dynamic_seed4,0
16,30.0,dynamic,5,pop16_respawn30_dynamic_seed5,0
16,30.0,static,1,pop16_respawn30_static_seed1,0
16,30.0,static,2,pop16_respawn30_static_seed2,0
16,30.0,static,3,pop16_respawn30_static_seed3,0
16,30.0,static,4,pop16_respawn30_static_seed4,0
16,30.0,static,5,pop16_respawn30_static_seed5,0
16,90.0,dynamic,1,pop16_respawn90_dynamic_seed1,0
16,90.0,dynamic,2,pop16_respawn90_dynamic_seed2,0
16,90.0,dynamic,3,pop16_respawn90_dynamic_seed3,0
16,90.0,dynamic,4,pop16_respawn90_dynamic_seed4,0
16,90.0,dynamic,5,pop16_respawn90_dynamic_seed5,0
16,90.0,static,1,pop16_respawn90_static_seed1,0
16,90.0,static,2,pop16_respawn90_static_seed2,0
16,90.0,static,3,pop16_respawn90_static_seed3,0
16,90.0,static,4,pop16_respawn90_static_seed4,0
16,90.0,static,5,pop16_respawn90_static_seed5,0
4,10.0,dynamic,1,pop4_respawn10_dynamic_seed1,0
4,10.0,dynamic,2,pop4_respawn10_dynamic_seed2,0
4,10.0,dynamic,3,pop4_respawn10_dynamic_seed3,0
4,10.0,dynamic,4,pop4_respawn10_dynamic_seed4,0
4,10.0,dynamic,5,pop4_respawn10_dynamic_seed5,0
4,10.0,static,1,pop4_respawn10_static_seed1,0
4,10.0,static,2,pop4_respawn10_static_seed2,0
4,10.0,static,3,pop4_respawn10_static_seed3,0
4,10.0,static,4,pop4_respawn10_static_seed4,0
4,10.0,static,5,pop4_respawn10_static_seed5,0
4,30.0,dynamic,1,pop4_respawn30_dynamic_seed1,0
4,30.0,dynamic,2,pop4_respawn30_dynamic_seed2,0
4,30.0,dynamic,3,pop4_respawn30_dynamic_seed3,0
4,30.0,dynamic,4,pop4_respawn30_dynamic_seed4,0
4,30.0,dynamic,5,pop4_respawn30_dynamic_seed5,0
4,30.0,static,1,pop4_respawn30_static_seed1,0
4,30.0,static,2,pop4_respawn30_static_seed2,0
4,30.0,static,3,pop4_respawn30_static_seed3,0
4,30.0,static,4,pop4_respawn30_static_seed4,0
4,30.0,static,5,pop4_respawn30_static_seed5,0
4,90.0,dynamic,1,pop4_respawn90_dynamic_seed1,0
4,90.0,dynamic,2,pop4_respawn90_dynamic_seed2,0
4,90.0,dynamic,3,pop4_respawn90_dynamic_seed3,0
4,90.0,dynamic,4,pop4_respawn90_dynamic_seed4,0
4,90.0,dynamic,5,pop4_respawn90_dynamic_seed5,0
4,90.0,static,1,pop4_respawn90_static_seed1,0
4,90.0,static,2,pop4_respawn90_static_seed2,0
4,90.0,static,3,pop4_respawn90_static_seed3,0
4,90.0,static,4,pop4_respawn90_static_seed4,0
4,90.0,static,5,pop4_respawn90_static_seed5,0
8,10.0,dynamic,1,pop8_respawn10_dynamic_seed1,0
8,10.0,dynamic,2,pop8_respawn10_dynamic_seed2,0
8,10.0,dynamic,3,pop8_respawn10_dynamic_seed3,0
8,10.0,dynamic,4,pop8_respawn10_dynamic_seed4,0
8,10.0,dynamic,5,pop8_respawn10_dynamic_seed5,0
8,10.0,static,1,pop8_respawn10_static_seed1,0
8,10.0,static,2,pop8_respawn10_static_seed2,0
8,10.0,static,3,pop8_respawn10_static_seed3,0
8,10.0,static,4,pop8_respawn10_static_seed4,0
8,10.0,static,5,pop8_respawn10_static_seed5,0
8,30.0,dynamic,1,pop8_respawn30_dynamic_seed1,0
8,30.0,dynamic,2,pop8_respawn30_dynamic_seed2,0
8,30.0,dynamic,3,pop8_respawn30_dynamic_seed3,0
8,30.0,dynamic,4,pop8_respawn30_dynamic_seed4,0
8,30.0,dynamic,5,pop8_respawn30_dynamic_seed5,0
8,30.0,static,1,pop8_respawn30_static_seed1,0
8,30.0,static,2,pop8_respawn30_static_seed2,0
8,30.0,static,3,pop8_respawn30_static_seed3,0
8,30.0,static,4,pop8_respawn30_static_seed4,0
8,30.0,static,5,pop8_respawn30_static_seed5,0
8,90.0,dynamic,1,pop8_respawn90_dynamic_seed1,0
8,90.0,dynamic,2,pop8_respawn90_dynamic_seed2,0
8,90.0,dynamic,3,pop8_respawn90_dynamic_seed3,0
8,90.0,dynamic,4,pop8_respawn90_dynamic_seed4,0
8,90.0,dynamic,5,pop8_respawn90_dynamic_seed5,0
8,90.0,static,1,pop8_respawn90_static_seed1,0
8,90.0,static,2,pop8_respawn90_static_seed2,0
8,90.0,static,3,pop8_respawn90_static_seed3,0
8,90.0,static,4,pop8_respawn90_static_seed4,0
8,90.0,static,5,pop8_respawn90_static_seed5,0
