timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":16}",0,0,10
2.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
3.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
4.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
5.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
6.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
7.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
8.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
9.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
10.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
11.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
12.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
13.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
14.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
15.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,8
16.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,2
17.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
18.07,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
19.08,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
20.08,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
21.09,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
22.09,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
23.10,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
24.10,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
25.10,1,0,"{""Explorer"":10,""Gatherer"":6}",16,1,3
26.11,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
27.11,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
28.12,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
29.12,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
30.12,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
31.13,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
32.13,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
33.14,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
34.14,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
35.15,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
36.15,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
37.15,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
38.16,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
39.16,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
40.17,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
41.17,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
42.18,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
43.18,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
44.18,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
45.19,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
46.19,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
47.20,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
48.20,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
49.20,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
50.21,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
51.21,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
52.22,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
53.22,23,0,"{""Explorer"":10,""Gatherer"":6}",16,23,3
54.23,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
55.23,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
56.23,24,0,"{""Explorer"":9,""Gatherer"":7}",17,24,2
57.24,24,0,"{""Explorer"":9,""Gatherer"":7}",17,24,2
58.24,24,0,"{""Explorer"":9,""Gatherer"":7}",17,24,2
59.25,24,0,"{""Explorer"":9,""Gatherer"":7}",17,24,2
60.25,24,0,"{""Explorer"":8,""Gatherer"":8}",18,24,1
61.25,24,0,"{""Explorer"":8,""Gatherer"":8}",18,24,1
62.26,28,0,"{""Explorer"":8,""Gatherer"":8}",18,28,1
63.26,30,0,"{""Explorer"":8,""Gatherer"":8}",18,30,1
64.27,30,0,"{""Explorer"":8,""Gatherer"":8}",18,30,1
65.27,31,0,"{""Explorer"":8,""Gatherer"":8}",18,31,1
66.28,31,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,31,0
67.28,31,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,31,0
68.28,31,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,31,0
69.29,31,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,31,0
70.29,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,32,0
71.30,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,32,0
72.30,29,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,38,0
73.30,28,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,38,0
74.31,24,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,38,0
75.31,24,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,41,0
76.32,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,42,0
77.32,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,42,0
78.33,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,42,0
79.33,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,45,0
80.33,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,46,0
81.34,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,46,0
82.34,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,46,0
83.35,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,46,0
84.35,30,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,50,0
